time,O2
1270,0.00674459459459459
1280,0.00673009009009009
1290,0.00668657657657658
1300,0.00664306306306306
1310,0.0066068018018018
1320,0.00656328828828829
1330,0.00651977477477477
1340,0.00648351351351351
1350,0.00643274774774775
1360,0.00639648648648649
1370,0.00636022522522523
1380,0.00631671171171171
1390,0.00628045045045045
1400,0.00623693693693694
1410,0.00620792792792793
1420,0.00616441441441441
1430,0.00612815315315315
1440,0.00608463963963964
1450,0.00604112612612613
1460,0.00600486486486486
1470,0.0059540990990991
1480,0.00591783783783784
1490,0.00588157657657658
1500,0.00583081081081081
1510,0.0057872972972973
1520,0.00575103603603604
1530,0.00570027027027027
1540,0.00566400900900901
1550,0.00561324324324324
1560,0.00557698198198198
1570,0.00552621621621622
1580,0.0054827027027027
1590,0.00544644144144144
1600,0.00539567567567568
1610,0.00535216216216216
1620,0.00530864864864865
1630,0.00526513513513513
1640,0.00522887387387387
1650,0.00517810810810811
1660,0.00513459459459459
1670,0.00509108108108108
1680,0.00504756756756757
1690,0.00500405405405405
1700,0.00496779279279279
1710,0.00491702702702703
1720,0.00487351351351351
1730,0.00483725225225225
1740,0.00479373873873874
1750,0.00475022522522523
1760,0.00470671171171171
1770,0.0046631981981982
1780,0.00461968468468468
1790,0.00456891891891892
1800,0.00453265765765766
1810,0.00448189189189189
1820,0.00443837837837838
1830,0.00439486486486486
1840,0.00435135135135135
1850,0.00430783783783784
1860,0.00426432432432432
1870,0.00421355855855856
1880,0.00416279279279279
1890,0.00412653153153153
1900,0.00408301801801802
1910,0.00403225225225225
1920,0.00398873873873874
1930,0.00394522522522522
1940,0.00390171171171171
1950,0.00385094594594595
1960,0.00381468468468468
1970,0.00376391891891892
1980,0.0037204054054054
1990,0.00367689189189189
2000,0.00362612612612613
2010,0.00358261261261261
2020,0.00353184684684685
2030,0.00348833333333333
2040,0.00344481981981982
2050,0.00339405405405405
2060,0.00335779279279279
2070,0.00332153153153153
2080,0.00327076576576577
2090,0.00322725225225225
2100,0.00317648648648649
2110,0.00312572072072072
2120,0.00307495495495495
2130,0.00303144144144144
2140,0.00299518018018018
2150,0.00294441441441441
2160,0.00289364864864865
2170,0.00285013513513513
2180,0.00279936936936937
2190,0.00275585585585586
2200,0.00271234234234234
2210,0.00266882882882883
2220,0.00261806306306306
2230,0.00257454954954955
2240,0.00252378378378378
2250,0.00248027027027027
2260,0.0024295045045045
2270,0.00238599099099099
2280,0.00234247747747748
2290,0.00229171171171171
2300,0.0022481981981982
2310,0.00219743243243243
2320,0.00214666666666667
2330,0.00210315315315315
2340,0.00205238738738739
2350,0.00200887387387387
2360,0.00195810810810811
2370,0.00190734234234234
2380,0.00185657657657658
2390,0.00181306306306306
2400,0.0017622972972973
2410,0.00171878378378378
2420,0.00167527027027027
2430,0.0016245045045045
2440,0.00157373873873874
2450,0.00152297297297297
2460,0.00147945945945946
2470,0.00143594594594595
2480,0.00138518018018018
2490,0.00134166666666667
2500,0.0012909009009009
2510,0.00124738738738739
2520,0.00119662162162162
2530,0.00115310810810811
2540,0.00110234234234234
2550,0.00105882882882883
2560,0.00101531531531532
2570,0.000971801801801802
2580,0.000928288288288288
2590,0.000877522522522522
2600,0.000834009009009009
2610,0.000790495495495495
2620,0.000754234234234234
